,0,text,polarity,subjectivity,sentiment,neg,pos,neu,compound,retweets,favoriites
0,"RT @Jannat_mredula: Super excited for this session ✨
Thank you @HiamAmani for your support ❤🙌

#MissUniverse #missbangladesh #missusa #miss…"," super excited for this session ✨
thank you @hiamamani for your support ❤🙌

#missuniverse #missbangladesh #missusa #miss…",0.35416666666666663,0.7083333333333333,positive,0.0,0.489,0.511,0.8885,1.0,0.0
1,RT @MissUniverse: The new Miss Universe is Mexico!!!! #MISSUNIVERSE https://t.co/Mmb6l7tK8I, the new miss universe is mexico!!!! #missuniverse https://t.co/mmb6l7tk8i,0.33291903409090906,0.45454545454545453,negative,0.283,0.0,0.717,-0.4153,29173.0,0.0
2,Miss Universe 1969 Miss Gloria Diaz. Photo by Unknown #DMForCredit #MissUniverse #GloriaDiaz #KnowHistory… https://t.co/64QkgB7VOo,miss universe 1969 miss gloria diaz. photo by unknown #dmforcredit #missuniverse #gloriadiaz #knowhistory… https://t.co/64qkgb7voo,-0.1,0.6,negative,0.211,0.0,0.789,-0.296,0.0,0.0
3,"RT @ggamxart: I so proud of you Amanda ✨💙
___________
#รับวาดรูป #รับออกแบบ #วาดรูป #amanda #MissUniverse #MissUniverse2020 #MissUniverseTh…"," i so proud of you amanda ✨💙
___________
#รับวาดรูป #รับออกแบบ #วาดรูป #amanda #missuniverse #missuniverse2020 #missuniverseth…",0.8,1.0,positive,0.0,0.207,0.793,0.5256,5.0,0.0
4,"Grand Slam trio 1967: 
Miss World, Madeline Hartog-Bel, Peru 🇵🇪
Miss Universe, Sylvia Hitchcock, USA 🇺🇸
Miss Intern… https://t.co/diS0y0Vwma","grand slam trio 1967: 
miss world, madeline hartog-bel, peru 🇵🇪
miss universe, sylvia hitchcock, usa 🇺🇸
miss intern… https://t.co/dis0y0vwma",0.5,1.0,negative,0.303,0.123,0.574,-0.34,0.0,0.0
5,"Our #MissUniverse Andrea Meza being stunning as always 🤍

#AndreaMeza @andreameza @MissUniverse https://t.co/6Hv2nrimiI","our #missuniverse andrea meza being stunning as always 🤍

#andreameza @andreameza @missuniverse https://t.co/6hv2nrimii",0.5,1.0,positive,0.0,0.191,0.809,0.3818,0.0,0.0
6,"RT @IamSiveMatiwane: Film World 
#MissUniverse #MissUniverseSouthAfrica 
#MissUniverse || Somizi || Scoop || Bonang || https://t.co/uFTe78y…"," film world 
#missuniverse #missuniversesouthafrica 
#missuniverse || somizi || scoop || bonang || https://t.co/ufte78y…",0.0,0.0,positive,0.0,0.118,0.882,0.1531,3.0,0.0
7,"RT @MissUniverse: This look is everything! 🤩 #MISSUNIVERSE 

LIVE on @FYI from @hardrockholly in #HollywoodFL https://t.co/HUsZhxlJcQ"," this look is everything! 🤩 #missuniverse 

live on @fyi from @hardrockholly in #hollywoodfl https://t.co/huszhxljcq",0.13636363636363635,0.5,neutral,0.0,0.0,1.0,0.0,1707.0,0.0
8,Missing my Princess #MissUniverse https://t.co/7KQuU7UftZ,missing my princess #missuniverse https://t.co/7kquu7uftz,-0.2,0.05,negative,0.355,0.0,0.645,-0.296,0.0,13.0
9,"Grand Slam duo 1966: 
Miss World, Reita Faria, India 🇮🇳
Miss Universe, Margareta Arvidsson, Sweden 🇸🇪
Miss Internat… https://t.co/0tQmxxUTeZ","grand slam duo 1966: 
miss world, reita faria, india 🇮🇳
miss universe, margareta arvidsson, sweden 🇸🇪
miss internat… https://t.co/0tqmxxutez",0.5,1.0,negative,0.303,0.123,0.574,-0.34,0.0,2.0
