"﻿""trends__name""",trends__url,trends__promoted_content,trends__query,trends__tweet_volume,as_of,created_at,locations__name,locations__woeid
#お気に入りの縦長画像を見せよう,http://twitter.com/search?q=%23%E3%81%8A%E6%B0%97%E3%81%AB%E5%85%A5%E3%82%8A%E3%81%AE%E7%B8%A6%E9%95%B7%E7%94%BB%E5%83%8F%E3%82%92%E8%A6%8B%E3%81%9B%E3%82%88%E3%81%86,null,%23%E3%81%8A%E6%B0%97%E3%81%AB%E5%85%A5%E3%82%8A%E3%81%AE%E7%B8%A6%E9%95%B7%E7%94%BB%E5%83%8F%E3%82%92%E8%A6%8B%E3%81%9B%E3%82%88%E3%81%86,66007,2021-05-06T13:09:43Z,2021-05-04T18:31:19Z,Worldwide,1
#まんぷくダービー,http://twitter.com/search?q=%23%E3%81%BE%E3%82%93%E3%81%B7%E3%81%8F%E3%83%80%E3%83%BC%E3%83%93%E3%83%BC,null,%23%E3%81%BE%E3%82%93%E3%81%B7%E3%81%8F%E3%83%80%E3%83%BC%E3%83%93%E3%83%BC,53147,,,,
#素のまんま,http://twitter.com/search?q=%23%E7%B4%A0%E3%81%AE%E3%81%BE%E3%82%93%E3%81%BE,null,%23%E7%B4%A0%E3%81%AE%E3%81%BE%E3%82%93%E3%81%BE,47904,,,,
PINK JOON,http://twitter.com/search?q=%22PINK+JOON%22,null,%22PINK+JOON%22,70194,,,,
愛知と福岡,http://twitter.com/search?q=%E6%84%9B%E7%9F%A5%E3%81%A8%E7%A6%8F%E5%B2%A1,null,%E6%84%9B%E7%9F%A5%E3%81%A8%E7%A6%8F%E5%B2%A1,15445,,,,
#クセスゴ,http://twitter.com/search?q=%23%E3%82%AF%E3%82%BB%E3%82%B9%E3%82%B4,null,%23%E3%82%AF%E3%82%BB%E3%82%B9%E3%82%B4,17080,,,,
縦長サムネ,http://twitter.com/search?q=%E7%B8%A6%E9%95%B7%E3%82%B5%E3%83%A0%E3%83%8D,null,%E7%B8%A6%E9%95%B7%E3%82%B5%E3%83%A0%E3%83%8D,376269,,,,
#talkwithppnaravit,http://twitter.com/search?q=%23talkwithppnaravit,null,%23talkwithppnaravit,11914,,,,
felix,http://twitter.com/search?q=felix,null,felix,142222,,,,
げんきdayo,http://twitter.com/search?q=%E3%81%92%E3%82%93%E3%81%8Ddayo,null,%E3%81%92%E3%82%93%E3%81%8Ddayo,null,,,,
minhyuk,http://twitter.com/search?q=minhyuk,null,minhyuk,59665,,,,
wooyoung,http://twitter.com/search?q=wooyoung,null,wooyoung,53042,,,,
デンマーク,http://twitter.com/search?q=%E3%83%87%E3%83%B3%E3%83%9E%E3%83%BC%E3%82%AF,null,%E3%83%87%E3%83%B3%E3%83%9E%E3%83%BC%E3%82%AF,null,,,,
自動車税,http://twitter.com/search?q=%E8%87%AA%E5%8B%95%E8%BB%8A%E7%A8%8E,null,%E8%87%AA%E5%8B%95%E8%BB%8A%E7%A8%8E,32323,,,,
緊急事態宣言延長,http://twitter.com/search?q=%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E5%AE%A3%E8%A8%80%E5%BB%B6%E9%95%B7,null,%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E5%AE%A3%E8%A8%80%E5%BB%B6%E9%95%B7,164654,,,,
ALL MEN DO IS LIE,http://twitter.com/search?q=%22ALL+MEN+DO+IS+LIE%22,null,%22ALL+MEN+DO+IS+LIE%22,31861,,,,
체육대회,http://twitter.com/search?q=%EC%B2%B4%EC%9C%A1%EB%8C%80%ED%9A%8C,null,%EC%B2%B4%EC%9C%A1%EB%8C%80%ED%9A%8C,13074,,,,
ゴムの日,http://twitter.com/search?q=%E3%82%B4%E3%83%A0%E3%81%AE%E6%97%A5,null,%E3%82%B4%E3%83%A0%E3%81%AE%E6%97%A5,44502,,,,
観音屋のチーズケーキ,http://twitter.com/search?q=%E8%A6%B3%E9%9F%B3%E5%B1%8B%E3%81%AE%E3%83%81%E3%83%BC%E3%82%BA%E3%82%B1%E3%83%BC%E3%82%AD,null,%E8%A6%B3%E9%9F%B3%E5%B1%8B%E3%81%AE%E3%83%81%E3%83%BC%E3%82%BA%E3%82%B1%E3%83%BC%E3%82%AD,null,,,,
Mügeye NeOldu,http://twitter.com/search?q=%22M%C3%BCgeye+NeOldu%22,null,%22M%C3%BCgeye+NeOldu%22,null,,,,
延長方針,http://twitter.com/search?q=%E5%BB%B6%E9%95%B7%E6%96%B9%E9%87%9D,null,%E5%BB%B6%E9%95%B7%E6%96%B9%E9%87%9D,50036,,,,
狩野英孝,http://twitter.com/search?q=%E7%8B%A9%E9%87%8E%E8%8B%B1%E5%AD%9D,null,%E7%8B%A9%E9%87%8E%E8%8B%B1%E5%AD%9D,null,,,,
台湾カレー,http://twitter.com/search?q=%E5%8F%B0%E6%B9%BE%E3%82%AB%E3%83%AC%E3%83%BC,null,%E5%8F%B0%E6%B9%BE%E3%82%AB%E3%83%AC%E3%83%BC,null,,,,
PINK HAIR,http://twitter.com/search?q=%22PINK+HAIR%22,null,%22PINK+HAIR%22,77917,,,,
同期コンビ,http://twitter.com/search?q=%E5%90%8C%E6%9C%9F%E3%82%B3%E3%83%B3%E3%83%93,null,%E5%90%8C%E6%9C%9F%E3%82%B3%E3%83%B3%E3%83%93,null,,,,
SUNWOO,http://twitter.com/search?q=SUNWOO,null,SUNWOO,38322,,,,
Jersey,http://twitter.com/search?q=Jersey,null,Jersey,135803,,,,
共同通信,http://twitter.com/search?q=%E5%85%B1%E5%90%8C%E9%80%9A%E4%BF%A1,null,%E5%85%B1%E5%90%8C%E9%80%9A%E4%BF%A1,25133,,,,
MITM FIRST WIN,http://twitter.com/search?q=%22MITM+FIRST+WIN%22,null,%22MITM+FIRST+WIN%22,19162,,,,
大橋くん,http://twitter.com/search?q=%E5%A4%A7%E6%A9%8B%E3%81%8F%E3%82%93,null,%E5%A4%A7%E6%A9%8B%E3%81%8F%E3%82%93,null,,,,
縦長表示,http://twitter.com/search?q=%E7%B8%A6%E9%95%B7%E8%A1%A8%E7%A4%BA,null,%E7%B8%A6%E9%95%B7%E8%A1%A8%E7%A4%BA,130054,,,,
慎ちゃん,http://twitter.com/search?q=%E6%85%8E%E3%81%A1%E3%82%83%E3%82%93,null,%E6%85%8E%E3%81%A1%E3%82%83%E3%82%93,null,,,,
縦長写真,http://twitter.com/search?q=%E7%B8%A6%E9%95%B7%E5%86%99%E7%9C%9F,null,%E7%B8%A6%E9%95%B7%E5%86%99%E7%9C%9F,28994,,,,
Carlos Timoteo Griguol,http://twitter.com/search?q=%22Carlos+Timoteo+Griguol%22,null,%22Carlos+Timoteo+Griguol%22,null,,,,
eunkwang,http://twitter.com/search?q=eunkwang,null,eunkwang,18810,,,,
LOVEドッ,http://twitter.com/search?q=LOVE%E3%83%89%E3%83%83,null,LOVE%E3%83%89%E3%83%83,null,,,,
AMAZING THURSDAY WITH YUTA,http://twitter.com/search?q=%22AMAZING+THURSDAY+WITH+YUTA%22,null,%22AMAZING+THURSDAY+WITH+YUTA%22,19842,,,,
古瀬くん,http://twitter.com/search?q=%E5%8F%A4%E7%80%AC%E3%81%8F%E3%82%93,null,%E5%8F%A4%E7%80%AC%E3%81%8F%E3%82%93,null,,,,
Monie,http://twitter.com/search?q=Monie,null,Monie,13755,,,,
JUNGKOOK PURPLE HAIR,http://twitter.com/search?q=%22JUNGKOOK+PURPLE+HAIR%22,null,%22JUNGKOOK+PURPLE+HAIR%22,53652,,,,
BE SAFE OUR iKON,http://twitter.com/search?q=%22BE+SAFE+OUR+iKON%22,null,%22BE+SAFE+OUR+iKON%22,null,,,,
縦長対応,http://twitter.com/search?q=%E7%B8%A6%E9%95%B7%E5%AF%BE%E5%BF%9C,null,%E7%B8%A6%E9%95%B7%E5%AF%BE%E5%BF%9C,112182,,,,
緊急宣言,http://twitter.com/search?q=%E7%B7%8A%E6%80%A5%E5%AE%A3%E8%A8%80,null,%E7%B7%8A%E6%80%A5%E5%AE%A3%E8%A8%80,317775,,,,
3racha,http://twitter.com/search?q=3racha,null,3racha,28069,,,,
changmin,http://twitter.com/search?q=changmin,null,changmin,26827,,,,
維新・馬場氏,http://twitter.com/search?q=%E7%B6%AD%E6%96%B0%E3%83%BB%E9%A6%AC%E5%A0%B4%E6%B0%8F,null,%E7%B6%AD%E6%96%B0%E3%83%BB%E9%A6%AC%E5%A0%B4%E6%B0%8F,null,,,,
ファル子,http://twitter.com/search?q=%E3%83%95%E3%82%A1%E3%83%AB%E5%AD%90,null,%E3%83%95%E3%82%A1%E3%83%AB%E5%AD%90,43085,,,,
名越先生,http://twitter.com/search?q=%E5%90%8D%E8%B6%8A%E5%85%88%E7%94%9F,null,%E5%90%8D%E8%B6%8A%E5%85%88%E7%94%9F,null,,,,
kevin twerking,http://twitter.com/search?q=%22kevin+twerking%22,null,%22kevin+twerking%22,null,,,,
政府方針,http://twitter.com/search?q=%E6%94%BF%E5%BA%9C%E6%96%B9%E9%87%9D,null,%E6%94%BF%E5%BA%9C%E6%96%B9%E9%87%9D,35822,,,,
#VocalGeniusYedamDay,http://twitter.com/search?q=%23VocalGeniusYedamDay,null,%23VocalGeniusYedamDay,369101,2021-05-06T14:41:01Z,2021-05-05T11:16:14Z,Worldwide,1
#스무살방예담_햇살처럼_눈부시길,http://twitter.com/search?q=%23%EC%8A%A4%EB%AC%B4%EC%82%B4%EB%B0%A9%EC%98%88%EB%8B%B4_%ED%96%87%EC%82%B4%EC%B2%98%EB%9F%BC_%EB%88%88%EB%B6%80%EC%8B%9C%EA%B8%B8,null,%23%EC%8A%A4%EB%AC%B4%EC%82%B4%EB%B0%A9%EC%98%88%EB%8B%B4_%ED%96%87%EC%82%B4%EC%B2%98%EB%9F%BC_%EB%88%88%EB%B6%80%EC%8B%9C%EA%B8%B8,374709,,,,
#お気に入りの縦長画像を見せよう,http://twitter.com/search?q=%23%E3%81%8A%E6%B0%97%E3%81%AB%E5%85%A5%E3%82%8A%E3%81%AE%E7%B8%A6%E9%95%B7%E7%94%BB%E5%83%8F%E3%82%92%E8%A6%8B%E3%81%9B%E3%82%88%E3%81%86,null,%23%E3%81%8A%E6%B0%97%E3%81%AB%E5%85%A5%E3%82%8A%E3%81%AE%E7%B8%A6%E9%95%B7%E7%94%BB%E5%83%8F%E3%82%92%E8%A6%8B%E3%81%9B%E3%82%88%E3%81%86,94220,,,,
古瀬くん,http://twitter.com/search?q=%E5%8F%A4%E7%80%AC%E3%81%8F%E3%82%93,null,%E5%8F%A4%E7%80%AC%E3%81%8F%E3%82%93,31176,,,,
#乃木坂LOCKS,http://twitter.com/search?q=%23%E4%B9%83%E6%9C%A8%E5%9D%82LOCKS,null,%23%E4%B9%83%E6%9C%A8%E5%9D%82LOCKS,14668,,,,
#全国のイオンモールに飛ばされるボタン,http://twitter.com/search?q=%23%E5%85%A8%E5%9B%BD%E3%81%AE%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E3%81%AB%E9%A3%9B%E3%81%B0%E3%81%95%E3%82%8C%E3%82%8B%E3%83%9C%E3%82%BF%E3%83%B3,null,%23%E5%85%A8%E5%9B%BD%E3%81%AE%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E3%81%AB%E9%A3%9B%E3%81%B0%E3%81%95%E3%82%8C%E3%82%8B%E3%83%9C%E3%82%BF%E3%83%B3,null,,,,
緊急事態宣言,http://twitter.com/search?q=%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E5%AE%A3%E8%A8%80,null,%E7%B7%8A%E6%80%A5%E4%BA%8B%E6%85%8B%E5%AE%A3%E8%A8%80,330920,,,,
stranger things,http://twitter.com/search?q=%22stranger+things%22,null,%22stranger+things%22,76863,,,,
JULIETTE NOSSO ORGULHO,http://twitter.com/search?q=%22JULIETTE+NOSSO+ORGULHO%22,null,%22JULIETTE+NOSSO+ORGULHO%22,40396,,,,
Humberto Maturana,http://twitter.com/search?q=%22Humberto+Maturana%22,null,%22Humberto+Maturana%22,10864,,,,
PINK JOON,http://twitter.com/search?q=%22PINK+JOON%22,null,%22PINK+JOON%22,88931,,,,
縦長サムネ,http://twitter.com/search?q=%E7%B8%A6%E9%95%B7%E3%82%B5%E3%83%A0%E3%83%8D,null,%E7%B8%A6%E9%95%B7%E3%82%B5%E3%83%A0%E3%83%8D,432772,,,,
愛知と福岡,http://twitter.com/search?q=%E6%84%9B%E7%9F%A5%E3%81%A8%E7%A6%8F%E5%B2%A1,null,%E6%84%9B%E7%9F%A5%E3%81%A8%E7%A6%8F%E5%B2%A1,20897,,,,
ELEVEN ARE YOU LISTENING,http://twitter.com/search?q=%22ELEVEN+ARE+YOU+LISTENING%22,null,%22ELEVEN+ARE+YOU+LISTENING%22,62193,,,,
Queiroga,http://twitter.com/search?q=Queiroga,null,Queiroga,16060,,,,
felix,http://twitter.com/search?q=felix,null,felix,170805,,,,
NöbetÜcretime Dokunma,http://twitter.com/search?q=%22N%C3%B6bet%C3%9Ccretime+Dokunma%22,null,%22N%C3%B6bet%C3%9Ccretime+Dokunma%22,null,,,,
OUR JOURNEY WITH ROSÉ,http://twitter.com/search?q=%22OUR+JOURNEY+WITH+ROS%C3%89%22,null,%22OUR+JOURNEY+WITH+ROS%C3%89%22,30517,,,,
Alexandre Garcia,http://twitter.com/search?q=%22Alexandre+Garcia%22,null,%22Alexandre+Garcia%22,12672,,,,
自動車税,http://twitter.com/search?q=%E8%87%AA%E5%8B%95%E8%BB%8A%E7%A8%8E,null,%E8%87%AA%E5%8B%95%E8%BB%8A%E7%A8%8E,38932,,,,
げんきdayo,http://twitter.com/search?q=%E3%81%92%E3%82%93%E3%81%8Ddayo,null,%E3%81%92%E3%82%93%E3%81%8Ddayo,null,,,,
ISRAEL E RODOLFFO NO ENCONTRO,http://twitter.com/search?q=%22ISRAEL+E+RODOLFFO+NO+ENCONTRO%22,null,%22ISRAEL+E+RODOLFFO+NO+ENCONTRO%22,26271,,,,
ゴムの日,http://twitter.com/search?q=%E3%82%B4%E3%83%A0%E3%81%AE%E6%97%A5,null,%E3%82%B4%E3%83%A0%E3%81%AE%E6%97%A5,52797,,,,
FIGHT FOR THE CROWN,http://twitter.com/search?q=%22FIGHT+FOR+THE+CROWN%22,null,%22FIGHT+FOR+THE+CROWN%22,18177,,,,
インライ,http://twitter.com/search?q=%E3%82%A4%E3%83%B3%E3%83%A9%E3%82%A4,null,%E3%82%A4%E3%83%B3%E3%83%A9%E3%82%A4,null,,,,
内田くん,http://twitter.com/search?q=%E5%86%85%E7%94%B0%E3%81%8F%E3%82%93,null,%E5%86%85%E7%94%B0%E3%81%8F%E3%82%93,null,,,,
YOASOBI感,http://twitter.com/search?q=YOASOBI%E6%84%9F,null,YOASOBI%E6%84%9F,null,,,,
wooyoung,http://twitter.com/search?q=wooyoung,null,wooyoung,68351,,,,
ARMY MELTING ON iHEART,http://twitter.com/search?q=%22ARMY+MELTING+ON+iHEART%22,null,%22ARMY+MELTING+ON+iHEART%22,57385,,,,
アンギラス,http://twitter.com/search?q=%E3%82%A2%E3%83%B3%E3%82%AE%E3%83%A9%E3%82%B9,null,%E3%82%A2%E3%83%B3%E3%82%AE%E3%83%A9%E3%82%B9,null,,,,
minhyuk,http://twitter.com/search?q=minhyuk,null,minhyuk,68610,,,,
Raditya Oloan,http://twitter.com/search?q=%22Raditya+Oloan%22,null,%22Raditya+Oloan%22,null,,,,
デンマーク,http://twitter.com/search?q=%E3%83%87%E3%83%B3%E3%83%9E%E3%83%BC%E3%82%AF,null,%E3%83%87%E3%83%B3%E3%83%9E%E3%83%BC%E3%82%AF,null,,,,
ALL MEN DO IS LIE,http://twitter.com/search?q=%22ALL+MEN+DO+IS+LIE%22,null,%22ALL+MEN+DO+IS+LIE%22,42404,,,,
ELA MALTRATA BIEL,http://twitter.com/search?q=%22ELA+MALTRATA+BIEL%22,null,%22ELA+MALTRATA+BIEL%22,56877,,,,
観音屋のチーズケーキ,http://twitter.com/search?q=%E8%A6%B3%E9%9F%B3%E5%B1%8B%E3%81%AE%E3%83%81%E3%83%BC%E3%82%BA%E3%82%B1%E3%83%BC%E3%82%AD,null,%E8%A6%B3%E9%9F%B3%E5%B1%8B%E3%81%AE%E3%83%81%E3%83%BC%E3%82%BA%E3%82%B1%E3%83%BC%E3%82%AD,null,,,,
체육대회,http://twitter.com/search?q=%EC%B2%B4%EC%9C%A1%EB%8C%80%ED%9A%8C,null,%EC%B2%B4%EC%9C%A1%EB%8C%80%ED%9A%8C,20777,,,,
縦長写真,http://twitter.com/search?q=%E7%B8%A6%E9%95%B7%E5%86%99%E7%9C%9F,null,%E7%B8%A6%E9%95%B7%E5%86%99%E7%9C%9F,34878,,,,
Timoteo,http://twitter.com/search?q=Timoteo,null,Timoteo,14033,,,,
Lucas Villa,http://twitter.com/search?q=%22Lucas+Villa%22,null,%22Lucas+Villa%22,89889,,,,
Solly,http://twitter.com/search?q=Solly,null,Solly,null,,,,
#THE夜会,http://twitter.com/search?q=%23THE%E5%A4%9C%E4%BC%9A,null,%23THE%E5%A4%9C%E4%BC%9A,17633,,,,
#PRODUCE101JAPAN2,http://twitter.com/search?q=%23PRODUCE101JAPAN2,null,%23PRODUCE101JAPAN2,32462,,,,
